,Title of Work,Type,Status,SiteAddress,URL,PhotoURL,Neighbourhood,DescriptionOfwork,YearOfInstallation,geo_point_2d
0,Charles Bentall,Figurative,In place,501 Burrard Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=8,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/474f32613a9576400ec109ba2736fcfd,Downtown,This classic bust depicts the entrepreneur Charles Bentall who died in 1974.,1977,"49.286828, -123.1178"
1,Lovers II,Figurative,In place,453 West 12th Avenue at Cambie,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=19,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7fe528956a0df13b4878c2bd592915fa,Mount Pleasant,,1977,"49.261439, -123.114522"
2,Captain John Deighton (Gassy Jack),Memorial or monument,No longer in place,"Carrall, Water & Powell Street",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=21,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c3e6c09a97f347e095fdfd0c6c43de87,Downtown,"This 6'6"" bronze figure standing on a barrel is prominently located in Gastown and commemorates the man for whom Gastown is named. Born in 1830, ""Gassy"" Jack Deighton was an adventurer who went to sea and was attracted by the gold rush in California and then in New Caledonia (now British Columbia). He didn't strike it rich and instead became a tax man and a steamboat pilot and later ran a saloon which is why he stands on a whiskey barrel. The Globe Saloon which stood on the site was reputedly built in 24 hours by the thirsty workers. (Vancouver Sun, April 7, 2001, H3) The nickname Gassy Jack came from the fact that he talked so much. (drawn from Old Vancouver Townsite Walking Tour, Footprints Community Art Project, 2001)",1970,"49.283351, -123.104296"
3,Untitled (mural),Mural,In place,2033 Comox Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=23,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/3b0b2051f33bbe168df193679711284d,West End,,1960,"49.291012, -123.143036"
5,Cross of Sacrifice,Memorial or monument,In place,39th Avenue and Prince Edward Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=30,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0c26ba995cd63bcce463440bb580d3e1,,The Cross of Sacrifice is a piece specific to the Commonwealth War Graves Commission (www.cwgc.org).,1922,"49.234639, -123.096898"
6,Untitled (Silver Bird),Sculpture,No longer in place,Granville & Georgia Street (Downtown),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=32,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c292acbdd9f67e0068bb35ddaee774a0,,,1974,"49.282713, -123.1181"
7,Centennial Fountain,Fountain or water feature,In place,West Georgia & Hamilton Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=38,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6ee0090f8e927039ab026cad445012fc,Downtown,"A modernist sculpture representing two spheres, one inside the other, with water flowing from the interior sphere.",1971,"49.280087, -123.113307"
8,Nature's Own Geometry,Relief,In place,2695 Granville Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=48,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/cf0288e414c0baf0faa7f556832d4894,Fairview,The copper bas-relief with abstract design and texture that hangs above the doors as well as the enameled entrance doors themselves are done by the artists.,1965,"49.261911, -123.138913"
9,Lookout,Site-integrated work,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=64,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/1338d9f168407a1e835320714b12de71,Downtown,"A sculptural installation consisting of two glass-roofed pavilions separated by approximately 120 metres.  The elliptical roof of each pavilion is supported by two walls made of stainless steel with cutout silhouettes of  industrial and natural forms. A second component of Lookout is a perimeter railing with cantilevered glass panels. The panels are inscribed with sandblasted words, written especially for this site in consultation with poet Robin Blaser. Midway between the two pavilions, the cut-out images are cast into the concrete walkway. As well, the artists have placed 13 simple bronze chairs throughout the site. The art work has an accompanying website at: http://www.lookoutsculpture.com/",1999,"49.273265, -123.119147"
10,Coopers Mews,Sculpture,In place,1033 Marinaside Crescent,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=66,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/cc77ece99dc24e6e086af0401fd71460,Downtown,"Taking its source elements from the railway and cooperage that used to inhabit the area in the early twentieth century, the art work starts with a galvanized steel track that runs overhead and wanders through the tall buildings between Pacific Boulevard and the False Creek seawall west of the Cambie Street bridge. Cement and wood planks are interspersed with grass to create a walkway underneath the overhead track. The planks are reminiscent of a winding keyboard. The overhead track ends at the False Creek side with a row of 5 wooden barrels lined up like on an assembly line. Below the barrels is a board walk of 12 segments. Stepping on each board distinctly will cause steam to be forced through the barrels and out one side, creating a sound like a calliope on which you can play a tune. The sound harkens back to other times in relation to the contemporary sounds of the city which surround the piece.",2002,"49.273631, -123.116637"
11,Untitled,Sculpture,In place,1201 West Pender Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=68,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8a28981778cfdcccec1a9d2c2dcdf085,Downtown,,1964,"49.288723, -123.123528"
12,Canada Geese in Flight,Sculpture,No longer in place,700 West Pender Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=72,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d7da8a6203790b188fd4608378dc50d9,Downtown,,1976,"49.284826, -123.115651"
13,Queen Victoria Memorial Drinking Fountain,Fountain or water feature,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=82,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e7f1615fc7fe6fb8912ac8e0c868fad9,Stanley Park,,1905,"49.297138, -123.134314"
14,Japanese-Canadian War Memorial,Memorial or monument,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=86,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/a1114fc1593fe34dbff3b675d827a3df,Stanley Park,"This heritage monument is a round column with a light on top which sits on a round pedestal. This granite columnar monument was erected by the Japanese Association for Canadian Men of Japanese Descent to honour those who fought in W.W. I.  On May 10, 1932, cherry trees, the Japanese emblem of peace, were planted around the Memorial.",1920,"49.301084, -123.132011"
15,Chief Wakas Pole,Totem pole,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=91,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/177544f929bb8b31a5fc347113fefa3a,Stanley Park,The Wa'kas pole is a replica of an Alert Bay pole done by Yuxwayu as a memorial to Chief Wakius (or Wa'kas). The original was a house pole erected in 1893 with a ceremonial entrance through the Raven's mouth. The pole depicts a legend of 3 sons of a Nimpkish chief who outwit a mythical cannibal-at-the-north-end-of-the-world who had been stealing members of the tribe.,1987,"49.299245, -123.120851"
16,Beaver Crest Pole,Totem pole,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=94,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/3b8bfff5f1d61dab258b22cebd2a8b63,Stanley Park,"The pole depicts the Tait family legend of the Eagle people and the Beaver crest.  The larger figure at the top holds two small figures which depict Tait's sons Robert and Isaac who helped carve the pole. (Stewart, Totem Poles, 1990)",1987,"49.29924, -123.120902"
17,Chehalis Cross,Memorial or monument,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=96,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/3e211faf8d7340667c7e2d77f4af080d,Stanley Park,A heritage monument to the eight who died on the steam driven tug boat Chehalis in 1906.,1906,"49.299862, -123.118001"
18,Empress of Japan,Memorial or monument,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=98,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/882303e2a171b0b1e236dc9621f5a20b,Stanley Park,"A heritage monument, this is a fibreglas reproduction of the original figurehead which was installed in 1923 and is now in the Maritime Museum.  It commemorates the Empress of Japan which sailed into Vancouver during 1891-1922.",1960,"49.299969, -123.117887"
